point,x,y,z
profile1 0518,485.05,386.366,-2.774
profile1 0519,485.023,386.22,-2.798
profile1 0520,484.997,386.034,-2.799
profile1 0521,485.026,385.891,-2.792
profile1 0522,485.022,385.675,-2.797
profile1 0523,484.958,385.416,-2.815
profile1 0524,484.913,385.163,-2.83
profile1 0525,484.939,384.854,-2.824
profile1 0526,484.969,384.682,-2.8
profile1 0527,484.951,384.507,-2.826
profile1 0528,484.946,384.315,-2.835
profile1 0529,485,384.06,-2.853
profile1 0530,484.995,383.782,-2.864
profile1 0531,484.865,383.535,-2.855
profile1 0532,484.899,383.303,-2.864
profile1 0533,484.906,383.136,-2.862
profile1 0534,484.867,382.947,-2.875
profile1 0535,484.79,382.754,-2.883
profile1 0536,484.741,382.57,-2.891
profile1 0537,484.706,382.316,-2.904
profile1 0538,484.641,382.073,-2.911
profile1 0539,484.628,381.829,-2.925
profile1 0540,484.612,381.578,-2.949
profile1 0541,484.557,381.306,-2.967
profile1 0542,484.491,381.016,-2.949
profile1 0543,484.507,380.844,-2.946
profile1 0544,484.56,380.628,-2.961
profile1 0545,484.52,380.475,-2.928
profile1 0546,484.537,380.346,-2.935
profile1 0547,484.541,380.187,-2.932
profile1 0548,484.504,380.024,-2.921
profile1 0549,484.444,379.844,-2.911
profile1 0550,484.43,379.699,-2.927
profile1 0551,484.438,379.582,-2.9
profile1 0552,484.478,379.441,-2.926
profile1 0553,484.457,379.279,-2.918
profile1 0554,484.481,379.183,-2.918
profile1 0555,484.564,379.038,-2.954
profile1 0556,484.625,378.847,-2.961
profile1 0557,484.63,378.676,-2.983
profile1 0558,484.549,378.499,-3
profile1 0559,484.542,378.301,-3.034
profile1 0560,484.479,378.024,-3.035
profile1 0561,484.474,377.808,-3.062
profile1 0562,484.476,377.521,-3.072
profile1 0563,484.496,377.337,-3.009
profile1 0564,484.603,377.192,-3.014
profile1 0565,484.618,376.976,-3.031
profile1 0566,484.58,376.69,-3.055
profile1 0567,484.472,376.421,-3.069
profile1 0568,484.403,376.162,-3.082
profile1 0569,484.286,375.903,-3.057
profile1 0570,484.307,375.71,-3.062
profile1 0571,484.228,375.483,-3.066
profile1 0572,484.124,375.245,-3.058
profile1 0573,484.069,375.033,-3.062
profile1 0574,484.086,374.797,-3.074
profile1 0575,484.099,374.549,-3.077
profile1 0576,484.094,374.322,-3.065
profile1 0577,484.134,374.158,-3.05
profile1 0578,484.195,374.019,-3.052
profile1 0579,484.223,373.932,-3.031
profile1 0580,484.376,373.907,-3.033
profile1 0581,484.398,373.699,-3.063
profile1 0582,484.299,373.482,-3.069
profile1 0583,484.327,373.296,-3.079
profile1 0584,484.402,373.111,-3.153
profile1 0585,484.349,372.86,-3.171
profile1 0586,484.398,372.732,-3.127
profile1 0587,484.348,372.591,-3.132
profile1 0588,484.319,372.463,-3.088
profile1 0589,484.359,372.348,-3.077
profile1 0590,484.357,372.203,-3.082
profile1 0591,484.371,372.004,-3.082
profile1 0592,484.378,371.824,-3.113
profile1 0593,484.429,371.729,-3.092
profile1 0594,484.514,371.664,-3.077
profile1 0595,484.517,371.508,-3.119
profile1 0596,484.425,371.279,-3.098
profile1 0597,484.396,371.115,-3.099
profile1 0598,484.386,370.964,-3.117
profile1 0599,484.277,370.813,-3.1
profile1 0600,484.23,370.669,-3.068
profile1 0601,484.305,370.559,-3.129
profile1 0602,484.225,370.389,-3.134
profile1 0603,484.147,370.253,-3.12
profile1 0604,484.1,370.144,-3.109
profile1 0605,484.029,370.019,-3.127
profile1 0606,483.969,369.889,-3.123
profile1 0607,483.966,369.751,-3.102
profile1 0608,483.899,369.637,-3.109
profile1 0609,483.822,369.494,-3.138
profile1 0610,483.752,369.392,-3.17
profile1 0611,483.757,369.415,-3.158
profile1 0612,483.835,369.518,-3.106
profile1 0613,483.951,369.691,-3.174
profile1 0614,483.997,369.792,-3.21
profile1 0615,484.079,369.907,-3.243
profile1 0616,484.224,369.963,-3.211
profile1 0617,484.285,369.859,-3.193
profile1 0618,484.329,369.739,-3.197
profile1 0619,484.367,369.533,-3.183
profile1 0620,484.371,369.391,-3.211
profile1 0621,484.295,369.181,-3.223
profile1 0622,484.253,368.922,-3.256
profile1 0623,484.193,368.748,-3.206
profile1 0624,484.133,368.588,-3.192
profile1 0625,484.205,368.453,-3.201
profile1 0626,484.307,368.263,-3.21
profile1 0627,484.205,367.966,-3.227
profile1 0628,484.182,367.774,-3.143
profile1 0629,484.17,367.628,-3.153
profile1 0630,484.072,367.462,-3.18
profile1 0631,483.971,367.285,-3.166
profile1 0632,483.922,367.112,-3.129
profile1 0633,483.958,366.971,-3.086
profile1 0634,484.03,366.963,-3.044
profile1 0635,484.089,366.992,-3.05
profile1 0636,484.116,366.918,-3.082
profile1 0637,484.1,366.812,-3.196
profile1 0638,484.048,366.662,-3.206
profile1 0639,484.007,366.499,-3.238
profile1 0640,484.078,366.29,-3.264
profile1 0641,484.12,366.102,-3.283
profile1 0642,484.004,365.996,-3.21
profile1 0643,483.825,365.886,-3.183
profile1 0644,483.701,365.801,-3.2
profile1 0645,483.641,365.73,-3.2
profile1 0646,483.581,365.63,-3.187
profile1 0647,483.558,365.629,-3.121
profile1 0648,483.733,365.778,-3.047
profile1 0649,483.927,365.87,-3.063
profile1 0650,483.999,365.89,-3.135
profile1 0651,483.917,365.834,-3.169
profile1 0652,483.958,365.772,-3.218
profile1 0653,483.977,365.638,-3.211
profile1 0654,483.94,365.513,-3.222
profile1 0655,483.893,365.337,-3.208
profile1 0656,483.838,365.15,-3.215
profile1 0657,483.822,365.017,-3.215
profile1 0658,483.851,364.786,-3.229
profile1 0659,483.865,364.584,-3.215
profile1 0660,483.875,364.441,-3.162
profile1 0661,483.821,364.254,-3.147
profile1 0662,483.88,364.047,-3.171
profile1 0663,483.839,363.776,-3.134
profile1 0664,483.815,363.532,-3.131
profile1 0665,483.757,363.241,-3.116
profile1 0666,483.733,363.087,-3.088
profile1 0667,483.704,362.926,-3.094
profile1 0668,483.617,362.69,-3.106
profile1 0669,483.485,362.495,-3.08
profile1 0670,483.395,362.332,-3.078
profile1 0671,483.423,362.223,-3.048
profile1 0672,483.428,362.013,-3.061
profile1 0673,483.306,361.757,-3.058
profile1 0674,483.2,361.59,-3.033
profile1 0675,483.214,361.408,-2.998
profile1 0676,483.223,361.157,-3.005
profile1 0677,483.131,360.978,-2.993
profile1 0678,483.077,360.73,-3.003
profile1 0679,483.072,360.499,-2.988
profile1 0680,483.011,360.352,-2.947
