,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
59,1,0.0651002311859834,39.67683325157539,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,22.83230917884121,2014-08-07 09:30:22,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
60,2,0.6217587636500319,44.52389070040176,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,17.09280243248341,2014-08-07 09:30:17,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
61,3,0.011641330380051995,33.95844631639646,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,39.840916430500606,2014-08-07 09:30:39,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
62,4,0.21280709728478997,42.420848157412436,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,110.7254382514904,2014-08-07 09:31:50,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
63,5,0.1751190672868772,36.84362891483264,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,128.11598201164094,2014-08-07 09:32:08,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
64,6,0.007360641158182024,29.442004764468173,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,153.28444322816392,2014-08-07 09:32:33,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
65,7,0.19456675523863565,43.52178679848824,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,162.68364443287183,2014-08-07 09:32:42,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
66,8,0.19456675523863565,43.52178679848824,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,162.68364443287183,2014-08-07 09:32:42,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
67,9,0.017491192372218634,38.827002332680046,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,218.4005022059282,2014-08-07 09:33:38,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
68,10,0.017491192372218634,38.827002332680046,0.29411764705882354,10,34.0,30.0,8.823529411764707,3.4,218.4005022059282,2014-08-07 09:33:38,6,2014-08-07 09:30:00,OneMileBeach,One Mile Beach
69,1,0.06919402072692726,35.856853506129724,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,47.64295782047887,2014-08-07 09:35:47,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
70,2,0.0024993071937660094,36.741570618934524,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,239.81752043323343,2014-08-07 09:38:59,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
71,3,0.3657175853538235,47.22087856998069,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,92.05959593682778,2014-08-07 09:36:32,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
72,4,0.3657175853538235,47.22087856998069,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,92.05959593682778,2014-08-07 09:36:32,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
73,5,0.29583107788766305,46.419516598891185,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,106.87058789509541,2014-08-07 09:36:46,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
74,6,0.3615602058976606,45.29975785120925,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,175.9064671980578,2014-08-07 09:37:55,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
75,7,0.03066249723189074,38.91288515179976,0.21875,7,32.0,42.857142857142854,9.375,4.571428571428571,266.145679804347,2014-08-07 09:39:26,7,2014-08-07 09:35:00,OneMileBeach,One Mile Beach
